Timestamp,اسم المنتج,اسم المنتج بالإنجليزية,اسم الشركة الأم,سبب المقاطعة\الدليل؟,نوع المنتج,اسماء لبدائل للمنتج ده (كل بديل على سطر)
12/3/2023 21:04,ترايدنت ,Trident, American Chicle,شركته امريكيه ,لبان ,لبان ماربيلا ده اللى انا متأكده انه مصري 
12/3/2023 21:06,لبان كلوريتس,Clorets,كادبوري آدامز,شركته امريكيه ,لبان,لبان ماربيلا برضو 🐥
12/4/2023 18:33,مولتو,Molto,,,مولتو,Break
12/5/2023 8:40,Microsoft ,Microsoft ,Microsoft ,,Technology ,
12/5/2023 8:41,League of legends ,League of legends ,Riot games,,Video games ,
12/5/2023 8:42,شركة ubisoft,,Ubisoft ,,Video games,
12/5/2023 8:43,EA games,,Electronic Arts,,Video games,
12/5/2023 11:28,جبنة رودس ,Rodes,,,جبن,
12/5/2023 18:59,ستاربكس,Starbucks ,,,قهوة,
12/5/2023 22:22,العديد من المنتجات برجاء مراجعة التويت,,,https://twitter.com/aishaalsayed9/status/1732023181311983826?t=vo2HFs6b0Xnai1eOiEIChw&s=19,,
2/2/2024 6:12,"Persil
Ariel",,,,,Oxi
2/2/2024 7:42,كيلوجز نودلز ,Kellogg's noodles ,Kellogg ,"منتج من شركة أمريكية 
https://en.m.wikipedia.org/wiki/Kellogg%27s",نودلز,إندومي - Indomie
2/2/2024 7:53,تسالي ,tasali,pepsico,تسالي هو الاسم المختصر لشركة تسالي السعودية للصناعات الغذائية، ثاني أكبر شركة للوجبات الخفيفة في السعودية. في عام 2001، استحوذت عليها شركة بيبسيكو. تنتج رقائق بطاطس تسالي، بالإضافة إلى إنتاج وتوزيع علامات بيبسي الأخرى مثل ليز وتشيتوس. https://ar.wikipedia.org/wiki/%D8%AA%D8%B3%D8%A7%D9%84%D9%8A_(%D8%B4%D8%B1%D9%83%D8%A9),chips,البطل
2/2/2024 7:56,البطل,albatal,albatal,البطل,بطاطس ,
2/2/2024 13:39,"مايكروسوفت:
 1-ويندوز.
 2-أوفيس/365.
 3-إكس بوكس.
 4-شير بوينت.
 5-لينكد إن.","Windows, Office/365, Xbox, LinkedIn, SharePoint ",Microsoft,,شركة تكنولوجيا,لا أعرف هل هي مقاطعة أم لا ولا أعرف أي بدائل
2/2/2024 13:43,سامسونج,Samsung,Samsung,,شركة تكنولوجيا,
2/2/2024 17:34,بلوكس,Blox,Hi food,,بسكويت محشو شوكولاتة مثل بيسكريم (<--مقاطعة),
2/2/2024 18:07,"لا اعرف هم نفس الشركة ام لا و لكن كلها فرنسية داعمة للصهاينة garnier
L'oreal
Bioderma
Venus
Jhonson 
Victoria secret
the body shop
Dove

",,,,عناية بشرة و جسم ,معرفش و لكن منتجات ليدي طبطب متاحه 
2/2/2024 19:57,ياهو مايل,Yahoo mail,Yahoo,شركة أمريكية من (الولايات المتحدة) تدعم اسرائيل,إلكترونيات,
2/2/2024 20:24,حدائق كاليفورنيا,California Garden,امريكانا,"إحدى الشركات التابعة لـ""الشركة الكويتية للأغذية - امريكانا"" في الامارات العربيه المتحده وتعود ملكيتها إلى صندوق الاستثمارات العامة السعودي تضم شبكة المجموعة قطاع تصنيع للأغذية وتجهيزها وعدد من سلاسل المطاعم التي تمنح المجموعة حقوق الامتياز التجاري في في بعض دول الشرق الأوسط وأسيا وشمال أفريقيا، ومنها دجاج كنتاكي وبيتزا هت وهارديز ، كوستا كوفي ، باسكن روبنز، وغيرها من العلامات التجارية المعروفة بدعمها للكيان",,Harvest
